Date;index;High;Low;Open;Close;Volume;Adj Close;datestamp;timestamp;day_perf;day_perf_x100;Open_p;Close_p;Open_p2;Close_p2;Open_p5;Close_p5;Open_p10;Close_p10;Volume_p;ema12;ema26;macd;signal;histogram;DVolume;ema12v;ema26v;macdv;signalv;histogramv;Overnight;Dgain;Tgain_;Dgain_p;Dgain_p2;Dgain_p5;Dgain_p10;MDgain_p1;MDgain_p2;MDgain_p5;MDgain_p10;histogram_p;hist_trend;hist_peack;hist_trend_p;hist_changepoint;maxday;daytype;deltaday;low_err;y_pred_l;high_err;y_pred_h;buy;buy3;lower_gap;gain;var_10gg;var_1gg;gain_ave;stock;trend;slope_x1000;first_data;name_ist;trend1w;trend1m;trend3m;trend6m
2021-01-29;3794;761.1699829101562;741.5;754.3599853515625;747.6400146484375;630100.0;747.6400146484375;2021-01-29;1611874800;99.0;-0.89%;767.0499877929688;765.3599853515625;760.4000244140625;758.72998046875;783.0399780273438;744.0800170898438;814.2899780273438;797.1400146484375;573500.0;775.0108337402344;792.7515376164363;-17.740703876201906;-5.700028726517985;-12.04067514968392;9.86922406277245;0.10058564455881007;0.12492076535388678;-0.024335120795076715;-0.00664033823262181;-0.017694782562454905;98.56;99.0;;100.0;100.0;95.0;98.0;97.0;98.0;95.0;92.0;-13.388988614422008;1;0;1.0;0;2021-01-07;-1.0;-23.0;244.39959771356212;364.1691194038654;252.3802567234627;641.0701114810493;NO;YES;2.05;-142;0.48;-1.44;-326;ISRG;RAISING;0.00119;2006-01-03;ist1;0.0;0.0;1.0;1.0
2021-01-29;3794;68.08000183105469;65.52999877929688;67.08000183105469;66.44000244140625;5967700.0;66.44000244140625;2021-01-29;1611874800;99.0;-0.95%;68.7699966430664;67.4000015258789;65.13999938964844;68.88999938964844;63.93000030517578;64.76000213623047;65.38999938964844;65.83999633789062;2843600.0;65.69166692097981;65.42282016460712;0.26884675637269595;0.33686782967331097;-0.06802107330061502;109.86425657617104;0.21601121222680708;0.178291089383712;0.03772012284309509;-0.04436324647645742;0.08208336931955251;99.53;99.0;;98.0;106.0;101.0;101.0;97.0;102.0;104.0;102.0;-0.0722523822403992;1;0;1.0;0;2020-12-23;-1.0;-38.0;11.5669458569742;33.788642039132974;12.813557227977384;75.62864753653622;NO;YES;1.97;138;3.36;-0.47;-177;NTAP;RAISING;6e-05;2006-01-03;ist2;0.0;1.0;1.0;1.0
2021-01-29;3794;3236.989990234375;3184.550048828125;3230.0;3206.199951171875;4285600.0;3206.199951171875;2021-01-29;1611874800;99.0;-0.74%;3235.0400390625;3237.6201171875;3341.489990234375;3232.580078125;3304.31005859375;3292.22998046875;3167.52001953125;3127.469970703125;3149200.0;3223.1249796549478;3212.082284780649;11.042694874298832;-14.677562224559146;25.720257098857978;36.08535501079639;0.07222408280248266;0.11407896855376777;-0.04185488575128511;-0.05853789107745078;0.016683005326165665;99.76;99.0;;100.0;97.0;100.0;99.0;99.0;96.0;97.0;101.0;21.080554755664757;2;0;2.0;0;2021-01-26;1.0;4.0;1374.268848478394;1170.6284030174825;1385.1949962660256;2516.672654496906;NO;YES;2.74;-215;3.28;-0.24;-428;AMZN;RAISING;0.00492;2006-01-03;ist3;0.0;1.0;1.0;0.0
2021-01-29;3794;439.2200012207031;425.7200012207031;435.7300109863281;426.44000244140625;1369400.0;426.44000244140625;2021-01-29;1611874800;98.0;-2.13%;433.5;438.2200012207031;414.5199890136719;432.0799865722656;400.6600036621094;406.25;364.0199890136719;371.0400085449219;1500700.0;404.37916564941406;386.1265364426833;18.252629206730774;11.281012793212186;6.971616413518587;-8.749250349836743;0.13262716332839958;0.12515580738381335;0.007471355944586228;0.02624115620054942;-0.01876980025596319;99.43;98.0;;101.0;104.0;101.0;102.0;98.0;103.0;106.0;117.0;5.180462111774666;2;0;2.0;0;2021-01-22;1.0;8.0;123.91417360523258;242.7665032581089;128.84757693353617;372.5422274706467;NO;NO;1.76;-126;13.31;-0.57;-281;ILMN;RAISING;0.00074;2006-01-03;ist4;0.0;1.0;1.0;1.0
2021-01-29;3794;36.689998626708984;35.04999923706055;36.119998931884766;35.439998626708984;18873500.0;35.439998626708984;2021-01-29;1611874800;98.0;-1.88%;35.93000030517578;36.34000015258789;36.25;35.81999969482422;37.529998779296875;37.029998779296875;36.099998474121094;36.15999984741211;16495200.0;36.42083326975504;35.98615382267879;0.43467944707625605;0.6279987731890115;-0.19331932611275549;14.418133760124158;0.10793596286187229;0.15998523410426338;-0.05204927124239109;0.0028433033518001282;-0.05489257459419122;99.39;98.0;;101.0;99.0;99.0;100.0;99.0;98.0;94.0;98.0;-0.2211681458345498;1;0;1.0;0;2020-12-11;1.0;50.0;3.0724643768635787;19.173360891554726;4.030589960905402;45.60114921797184;NO;YES;1.85;286;-1.06;-0.61;-87;BSX;RAISING;6e-05;2006-01-03;ist5;0.0;1.0;1.0;0.0
2021-01-29;1222;15.270000457763672;14.770000457763672;15.039999961853027;14.970000267028809;3900928.0;14.970000267028809;2021-01-29;1611874800;100.0;-0.47%;15.0;15.170000076293945;15.420000076293945;14.770000457763672;16.0;15.890000343322754;16.010000228881836;15.949999809265137;8468638.0;15.641666809717814;15.415384732759916;0.22628207695789726;0.33559832206139184;-0.10931624510349458;-53.93677235938058;0.07183416500001877;0.10845540559175873;-0.03662124059173996;0.0018188938106375814;-0.03844013440237754;99.14;100.0;;101.0;96.0;99.0;100.0;100.0;97.0;94.0;94.0;0.00018516021576392427;4;0;3.0;-1;2021-01-29;-1.0;-1.0;5.380427268640489;0.6351782715505419;5.435370977094038;18.687589377276126;NO;YES;23.57;248;1.35;-0.86;-357;UA;0;-0.00013;2016-03-23;ist6;1.0;0.0;1.0;1.0
2021-01-29;2489;165.8699951171875;159.6999969482422;162.8300018310547;162.47999572753906;1531400.0;162.47999572753906;2021-01-29;1611874800;100.0;-0.21%;159.58999633789062;163.8000030517578;161.57000732421875;157.02000427246094;166.47999572753906;166.97000122070312;170.77999877929688;168.27000427246094;1709900.0;165.9825007120768;166.46031599778397;-0.4778152857071518;2.121167239979804;-2.5989825256869556;-10.439206971167904;0.0889346200108773;0.14224075202372413;-0.05330613201284683;-0.07200481622027251;0.01869868420742568;99.41;100.0;;103.0;97.0;100.0;99.0;102.0;101.0;98.0;95.0;-2.2239994146885036;4;0;4.0;0;2020-12-29;-1.0;-32.0;21.11382184906188;116.10398524008379;23.648792854718636;164.50323335399025;NO;YES;1.4;12;3.48;-0.59;-135;HCA;RAISING;0.0004;2011-03-10;ist7;1.0;0.0;1.0;1.0
2021-01-29;3794;66.2300033569336;64.04000091552734;64.19999694824219;65.5999984741211;11629400.0;65.5999984741211;2021-01-29;1611874800;102.0;2.18%;65.25;64.68000030517578;65.75;65.4800033569336;66.52999877929688;66.94000244140625;61.63999938964844;62.400001525878906;8086400.0;65.57250086466472;62.27538519639235;3.297115668272369;2.9999640239269993;0.29715164434536945;43.81430550059358;0.10252385116941996;0.08297258951018595;0.019551261659234015;-0.040582326386490356;0.06013358804572437;99.26;102.0;;99.0;100.0;101.0;101.0;101.0;100.0;99.0;106.0;0.4847564072350843;3;0;3.0;0;2021-01-07;1.0;23.0;-26.526473593280656;47.65968555303751;-26.412398234067723;136.67843095992905;NO;NO;1.38;1083;3.58;-0.74;396;GILD;RAISING;0.00017;2006-01-03;ist8;1.0;1.0;1.0;0.0
2021-01-29;3794;200.8000030517578;196.77000427246094;199.2899932861328;197.47000122070312;3508000.0;197.47000122070312;2021-01-29;1611874800;99.0;-0.91%;197.3800048828125;201.2899932861328;196.02000427246094;194.3300018310547;207.61000061035156;207.1300048828125;217.9499969482422;216.16000366210938;3406500.0;208.1216672261556;208.2173080444336;-0.09564081827798532;4.269972026857557;-4.3656128451355425;2.979597827682372;0.06757123517183225;0.1112394076421829;-0.04366817247035065;-0.017183924267777213;-0.02648424820257344;99.01;99.0;;102.0;99.0;100.0;99.0;100.0;101.0;95.0;91.0;-3.4088325283126624;4;0;4.0;0;2021-01-26;-1.0;-4.0;31.927835024777664;139.86390890406446;32.6945685232929;193.142154368945;NO;YES;1.41;-21;1.62;-0.99;-156;UNP;RAISING;0.00036;2006-01-03;ist9;1.0;0.0;1.0;1.0
2021-01-29;3794;88.33000183105469;85.0199966430664;87.55999755859375;85.63999938964844;56631200.0;85.63999938964844;2021-01-29;1611874800;98.0;-2.19%;89.83000183105469;87.5199966430664;91.0999984741211;88.83999633789062;94.41999816894531;92.79000091552734;91.7699966430664;90.79000091552734;47048400.0;90.34499867757161;91.7165383559007;-1.3715396783290856;-0.6325076665633796;-0.739032011765706;20.36796150347302;0.01520677529485038;0.060916798879140914;-0.045710023584290535;-0.008221349971447835;-0.0374886736128427;100.05;98.0;;97.0;98.0;98.0;99.0;95.0;94.0;91.0;93.0;-0.3363042652097429;4;0;4.0;0;2021-01-28;-1.0;-2.0;58.35322702970421;-4.731854235437609;60.515776254126635;60.35329550820398;YES;YES;-18.1;-295;-2.15;0.05;-681;AMD;RAISING;5e-05;2006-01-03;ist10;0.0;0.0;1.0;1.0
