Date;High;Low;Open;Close;Volume;Adj Close;datestamp;timestamp;day_perf;day_perf_x100;Open_p;Close_p;Open_p2;Close_p2;Open_p5;Close_p5;Open_p10;Close_p10;Volume_p;ema12;ema26;macd;signal;histogram;DVolume;ema12v;ema26v;macdv;signalv;histogramv;Overnight;Dgain;Tgain_;Dgain_p;Dgain_p2;Dgain_p5;Dgain_p10;MDgain_p1;MDgain_p2;MDgain_p5;MDgain_p10;histogram_p;hist_trend;hist_peack;hist_trend_p;hist_changepoint;maxday;daytype;deltaday;low_err;y_pred_l;high_err;y_pred_h;buy;buy3;lower_gap;gain;var_10gg;var_1gg;gain_ave;stock;trend;slope_x1000;first_data;name_ist;trend1w;trend1m;trend3m;trend6m
2021-01-29;758.6199951171875;750.6630249023438;754.364013671875;750.6630249023438;35413.0;750.6630249023438;2021-01-29;1611874800;100.0;-0.49%;767.0499877929688;765.3599853515625;760.4000244140625;758.72998046875;783.0399780273438;744.0800170898438;814.2899780273438;797.1400146484375;573500.0;775.2627512613932;792.8678072415865;-17.605055980193356;-5.684956738072578;-11.920099242120777;-93.82510897994769;0.014173700356542049;0.08503832956822541;-0.07086462921168336;-0.011810283612246392;-0.05905434559943697;98.56;100.0;;100.0;100.0;95.0;98.0;98.0;99.0;96.0;92.0;-13.38898861442202;1;0;1.0;0;2021-01-07;-1.0;-23.0;253.55296589385011;364.1868402850248;249.83295630978432;641.0698233377557;NO;YES;2.06;-145;0.88;-1.44;-329;ISRG;RAISING;0.00119;2006-01-03;ist1;0.0;0.0;1.0;1.0
2021-01-29;67.94000244140625;66.12000274658203;67.08000183105469;67.33000183105469;121787.0;67.33000183105469;2021-01-29;1611874800;100.0;0.37%;68.7699966430664;67.4000015258789;65.13999938964844;68.88999938964844;63.93000030517578;64.76000213623047;65.38999938964844;65.83999633789062;2843600.0;65.76583353678386;65.45705091036282;0.30878262642103493;0.34130514856757166;-0.032522522146536725;-95.7171543114362;0.044693369820467815;0.09922131596540194;-0.05452794614493413;-0.05461303191957188;8.508577463775535e-05;99.53;100.0;;98.0;106.0;101.0;101.0;98.0;103.0;105.0;103.0;-0.07225238224039998;1;0;1.0;0;2020-12-23;-1.0;-38.0;12.156328031305122;33.78926173601071;12.673705380784412;75.6284987973684;NO;YES;1.99;123;4.74;-0.47;-188;NTAP;RAISING;6e-05;2006-01-03;ist2;1.0;1.0;1.0;1.0
2021-01-29;3226.0;3195.0;3230.0;3197.330078125;420494.0;3197.330078125;2021-01-29;1611874800;99.0;-1.01%;3235.0400390625;3237.6201171875;3341.489990234375;3232.580078125;3304.31005859375;3292.22998046875;3167.52001953125;3127.469970703125;3136700.0;3222.3858235677085;3211.7411358173076;10.644687750400863;-14.721785238325587;25.36647298872645;-86.59438263142793;-0.030232555925521643;0.06679128914084266;-0.0970238450663643;-0.06468114867812673;-0.03234269638823757;99.76;99.0;;100.0;97.0;100.0;99.0;99.0;96.0;97.0;101.0;21.080554755664757;2;0;2.0;0;2021-01-26;1.0;4.0;1384.707786663288;1170.6496404513173;1374.216588154607;2516.6717977567746;NO;YES;2.73;-212;3.0;-0.24;-427;AMZN;RAISING;0.00492;2006-01-03;ist3;0.0;1.0;1.0;0.0
2021-01-29;436.1400146484375;430.79998779296875;435.7300109863281;433.94000244140625;183716.0;433.94000244140625;2021-01-29;1611874800;100.0;-0.41%;433.5;438.2200012207031;414.5199890136719;432.0799865722656;400.6600036621094;406.25;364.0199890136719;371.0400085449219;1500700.0;405.00416564941406;386.41499798114484;18.589167668269226;11.318405955605341;7.2707617126638855;-87.75797960951556;0.0667865556120009;0.09476783459162912;-0.02798127897962821;0.022301974542302767;-0.05028325352193098;99.43;100.0;;101.0;104.0;101.0;102.0;100.0;105.0;108.0;119.0;5.180462111774672;2;0;2.0;0;2021-01-22;1.0;8.0;128.98880648492434;242.7762736003648;125.77083629529125;372.541653481561;NO;NO;1.79;-141;15.3;-0.57;-294;ILMN;RAISING;0.00074;2006-01-03;ist4;1.0;1.0;1.0;1.0
2021-01-29;36.34000015258789;36.029998779296875;35.93000030517578;36.23500061035156;770073.0;36.23500061035156;2021-01-29;1611874800;101.0;0.85%;35.93000030517578;36.34000015258789;36.25;35.81999969482422;37.529998779296875;37.029998779296875;36.099998474121094;36.15999984741211;16495200.0;36.487083435058594;36.01673082204965;0.4703526130089415;0.6319624582926436;-0.16160984528370215;-95.3315328095446;0.016477907387147717;0.11777382388516006;-0.10129591649801234;-0.0026285461210478664;-0.09866737037696448;98.87;101.0;;101.0;99.0;99.0;100.0;101.0;100.0;97.0;100.0;-0.22116814583455024;1;0;1.0;0;2020-12-11;1.0;50.0;4.051431117891298;19.175290736179498;3.680960342923001;45.60110242298056;NO;NO;1.89;258;1.16;-1.13;-107;BSX;RAISING;6e-05;2006-01-03;ist5;0.0;1.0;1.0;0.0
2021-01-29;15.15999984741211;14.960000038146973;15.0;15.048199653625488;272283.0;15.048199653625488;2021-01-29;1611874800;100.0;0.32%;15.0;15.170000076293945;15.420000076293945;14.770000457763672;16.0;15.890000343322754;16.010000228881836;15.949999809265137;8468638.0;15.648183425267538;15.418392401475172;0.22979102379236593;0.33598820504300164;-0.10619718125063571;-96.78480766328659;0.0361274689134243;0.0919753920133309;-0.0558479230999066;-0.0003174042458262285;-0.05553051885408037;98.88;100.0;;101.0;96.0;99.0;100.0;100.0;98.0;94.0;94.0;0.00018516021576175934;4;0;3.0;-1;2021-01-29;-1.0;-1.0;5.56980602529768;0.6356186495722298;5.325729793793073;18.687081276848986;NO;YES;23.67;241;1.88;-1.12;-360;UA;0;-0.00013;2016-03-23;ist6;0.0;1.0;1.0;1.0
2021-01-29;163.3000030517578;160.6300048828125;159.58999633789062;162.77000427246094;71306.0;162.77000427246094;2021-01-29;1611874800;102.0;1.99%;159.58999633789062;163.8000030517578;161.57000732421875;157.02000427246094;166.47999572753906;166.97000122070312;170.77999877929688;168.27000427246094;1709900.0;166.0066680908203;166.47147017258865;-0.46480208176834026;2.1226131515285527;-2.587415233296893;-95.82981460904146;0.017775780312649564;0.10939821062454183;-0.09162243031189227;-0.07626218269794334;-0.015360247613948927;97.43;102.0;;103.0;97.0;100.0;99.0;102.0;101.0;98.0;95.0;-2.2239994146884956;4;0;4.0;0;2020-12-29;-1.0;-32.0;22.042336724595714;116.10645745724916;21.082926721696936;164.4751464070867;NO;YES;1.4;10;3.66;-2.57;-137;HCA;RAISING;0.0004;2011-03-10;ist7;0.0;0.0;1.0;1.0
2021-01-29;65.5;64.04000091552734;64.19999694824219;65.47000122070312;692156.0;65.47000122070312;2021-01-29;1611874800;102.0;1.98%;65.25;64.68000030517578;65.75;65.4800033569336;66.52999877929688;66.94000244140625;61.63999938964844;62.400001525878906;8077400.0;65.56166776021321;62.27038530203012;3.2912824581830904;2.9993158894726353;0.2919665687104551;-91.43095550548443;-0.010256227881300326;0.030920245332930564;-0.04117647321423089;-0.04733438123698579;0.006157908022754899;99.26;102.0;;99.0;100.0;101.0;101.0;100.0;100.0;98.0;106.0;0.4847564072350843;3;0;3.0;0;2021-01-07;1.0;23.0;-26.526473593280656;47.659685553037505;-27.141632255591702;136.6780122283971;NO;NO;1.37;1087;3.38;-0.74;399;GILD;RAISING;0.00017;2006-01-03;ist8;0.0;1.0;1.0;0.0
2021-01-29;200.18499755859375;197.52000427246094;197.3800048828125;199.19000244140625;153795.0;199.19000244140625;2021-01-29;1611874800;101.0;0.92%;197.3800048828125;201.2899932861328;196.02000427246094;194.3300018310547;207.61000061035156;207.1300048828125;217.9499969482422;216.16000366210938;3406100.0;208.2650006612142;208.28346193753757;-0.018461276323364473;4.2785475315191785;-4.297008807842543;-95.48471859311236;-0.014491154600266287;0.07336445851659891;-0.0878556131168652;-0.022094165957418685;-0.06576144715944651;98.06;101.0;;102.0;99.0;100.0;99.0;101.0;102.0;96.0;91.0;-3.4088325283126597;4;0;4.0;0;2021-01-26;-1.0;-4.0;32.677044615320256;139.86528504345526;32.080211171673;193.14208284415975;NO;YES;1.42;-30;2.5;-1.94;-164;UNP;RAISING;0.00036;2006-01-03;ist9;0.0;0.0;1.0;1.0
2021-01-29;87.9800033569336;86.2699966430664;87.55999755859375;86.37999725341797;3921564.0;86.37999725341797;2021-01-29;1611874800;99.0;-1.35%;89.83000183105469;87.5199966430664;91.0999984741211;88.83999633789062;94.41999816894531;92.79000091552734;91.7699966430664;90.79000091552734;46944300.0;90.40666516621907;91.74499981219952;-1.3383346459804528;-0.6288182185246411;-0.7095164274558117;-91.64634684083052;-0.07825676442476696;0.017779780547009807;-0.09603654497177677;-0.013820262427854522;-0.08221628254392224;100.05;99.0;;97.0;98.0;98.0;99.0;96.0;95.0;91.0;94.0;-0.33630426520974455;4;0;4.0;0;2021-01-28;-1.0;-2.0;59.601909680608486;-4.730606152263128;60.16614663614426;60.35275427749639;YES;YES;-18.26;-301;-1.3;0.05;-684;AMD;RAISING;5e-05;2006-01-03;ist10;0.0;0.0;1.0;1.0
